,text,author,sex,period
0,him there was more noise than ever over at the house the main building was called the house to distinguish it from the cottages the chattering and whistling birds were still at it two young girls the farival twins were playing a duet from zampa upon the piano madame lebrun was bustling in and out giving orders in a high key to a yardboy whenever she got inside the house and directions in an equally high voice to a diningroom servant whenever she got outside she was a fresh pretty woman clad always in white with elbow sleeves her starched skirts crinkled as she came and went farther down before one of the cottages a lady in black was walking demurely up and down telling her beads a good many persons of the pension had gone over to the cheniere caminada in beaudelets lugger to hear mass some young people were,KateChopin,female,realism
1,mr pontelliers two children were theresturdy little fellows of four and five a quadroon nurse followed them about with a faraway meditative air mr pontellier finally lit a cigar and began to smoke letting the paper drag idly from his hand he fixed his gaze upon a white sunshade that was advancing at snails pace from the beach he could see it plainly between the gaunt trunks of the wateroaks and across the stretch of yellow camomile the gulf looked far away melting hazily into the blue of the horizon the sunshade continued to approach slowly beneath its pinklined shelter were his wife mrs pontellier and young robert lebrun when they reached the cottage the two seated themselves with some appearance of fatigue upon the upper step of the porch facing each other each leaning against a supporting post what folly to bathe at such an hour in such heat exclaimed,KateChopin,female,realism
2,mr pontellier he himself had taken a plunge at daylight that was why the morning seemed long to him you are burnt beyond recognition he added looking at his wife as one looks at a valuable piece of personal property which has suffered some damage she held up her hands strong shapely hands and surveyed them critically drawing up her fawn sleeves above the wrists looking at them reminded her of her rings which she had given to her husband before leaving for the beach she silently reached out to him and he understanding took the rings from his vest pocket and dropped them into her open palm she slipped them upon her fingers then clasping her knees she looked across at robert and began to laugh the rings sparkled upon her fingers he sent back an answering smile what is it asked pontellier looking lazily and amused from one to,KateChopin,female,realism
3,summer day mrs pontellier reached over for a palmleaf fan that lay on the porch and began to fan herself while robert sent between his lips light puffs from his cigarette they chatted incessantly about the things around them their amusing adventure out in the waterit had again assumed its entertaining aspect about the wind the trees the people who had gone to the cheniere about the children playing croquet under the oaks and the farival twins who were now performing the overture to the poet and the peasant robert talked a good deal about himself he was very young and did not know any better mrs pontellier talked a little about herself for the same reason each was interested in what the other said robert spoke of his intention to go to mexico in the autumn where fortune awaited him he was always intending to go to mexico but some,KateChopin,female,realism
4,whence her husband had disappeared robert supposed he was not as there were a good many new orleans club men over at kleins when mrs pontellier left him to enter her room the young man descended the steps and strolled over toward the croquet players where during the halfhour before dinner he amused himself with the little pontellier children who were very fond of him iii it was eleven oclock that night when mr pontellier returned from kleins hotel he was in an excellent humor in high spirits and very talkative his entrance awoke his wife who was in bed and fast asleep when he came in he talked to her while he undressed telling her anecdotes and bits of news and gossip that he had gathered during the day from his trousers pockets he took a fistful of crumpled bank notes and a good deal of silver coin which he,KateChopin,female,realism
5,him all day mr pontellier was too well acquainted with fever symptoms to be mistaken he assured her the child was consuming at that moment in the next room he reproached his wife with her inattention her habitual neglect of the children if it was not a mothers place to look after children whose on earth was it he himself had his hands full with his brokerage business he could not be in two places at once making a living for his family on the street and staying at home to see that no harm befell them he talked in a monotonous insistent way mrs pontellier sprang out of bed and went into the next room she soon came back and sat on the edge of the bed leaning her head down on the pillow she said nothing and refused to answer her husband when he questioned her when his cigar,KateChopin,female,realism
6,consciousness filled her whole being with a vague anguish it was like a shadow like a mist passing across her souls summer day it was strange and unfamiliar it was a mood she did not sit there inwardly upbraiding her husband lamenting at fate which had directed her footsteps to the path which they had taken she was just having a good cry all to herself the mosquitoes made merry over her biting her firm round arms and nipping at her bare insteps the little stinging buzzing imps succeeded in dispelling a mood which might have held her there in the darkness half a night longer the following morning mr pontellier was up in good time to take the rockaway which was to convey him to the steamer at the wharf he was returning to the city to his business and they would not see him again at the island till,KateChopin,female,realism
7,wings as ministering angels many of them were delicious in the role one of them was the embodiment of every womanly grace and charm if her husband did not adore her he was a brute deserving of death by slow torture her name was adele ratignolle there are no words to describe her save the old ones that have served so often to picture the bygone heroine of romance and the fair lady of our dreams there was nothing subtle or hidden about her charms her beauty was all there flaming and apparent the spungold hair that comb nor confining pin could restrain the blue eyes that were like nothing but sapphires two lips that pouted that were so red one could only think of cherries or some other delicious crimson fruit in looking at them she was growing a little stout but it did not seem to detract an iota,KateChopin,female,realism
8,her asserting that he had known a lady who had subsisted upon nougat during the entirebut seeing the color mount into mrs pontelliers face he checked himself and changed the subject mrs pontellier though she had married a creole was not thoroughly at home in the society of creoles never before had she been thrown so intimately among them there were only creoles that summer at lebruns they all knew each other and felt like one large family among whom existed the most amicable relations a characteristic which distinguished them and which impressed mrs pontellier most forcibly was their entire absence of prudery their freedom of expression was at first incomprehensible to her though she had no difficulty in reconciling it with a lofty chastity which in the creole woman seems to be inborn and unmistakable never would edna pontellier forget the shock with which she heard madame ratignolle relating to,KateChopin,female,realism
9,robert come go stand up sit down do this do that see if the baby sleeps my thimble please that i left god knows where come and read daudet to me while i sew par exemple i never had to ask you were always there under my feet like a troublesome cat you mean like an adoring dog and just as soon as ratignolle appeared on the scene then it was like a dog passez adieu allez vousen perhaps i feared to make alphonse jealous she interjoined with excessive naivete that made them all laugh the right hand jealous of the left the heart jealous of the soul but for that matter the creole husband is never jealous with him the gangrene passion is one which has become dwarfed by disuse meanwhile robert addressing mrs pontellier continued to tell of his one time hopeless passion for madame ratignolle of sleepless nights,KateChopin,female,realism
