Author,Book1,Book2,Length -1,Length - 2,Total Length,Sex,Period,See Note Below - Genre,See Note Below - Type,,,,,,,,
John Locke,Two Treatises on Government ,Letters On Human Understanding,56481,124626,181107,Male,Enlightenment ,,,,,,,,,,
Mary Wollstonecraft,A Vindication of the Rights of Woman ,"Maria, or the Wrong of Women",86456,45063,131519,Female,Enlightenment ,,,,,,,,,,
Nathaniel Hawthorne ,The Scarlet Letter,The House of the Seven Gables,83620,104875,188495,Male,American Gothic / Romantic ,,,,,,,,,,
Mary Shelley ,Frankenstein ,The Last Man,75055,174555,249610,Female,American Gothic / Romantic,,,,,,,,,,
Charles Dickens,A Tale of Two Cities,Great Expectations,135820,184399,320219,Male,Victorian ,,,,,,,,,,
Jane Austin,Pride and Prejudice,Sense and Sensibility ,121533,118578,240111,Female,Victorian ,,,,,,,,,,
Henry David Thoreau ,Walden,Cape Cod,115641,78318,193959,Male,Transcendentalism,,,,,,,,,,
Margaret Fuller,Summer on the Lakes,Woman in the Nineteenth Century,67532,110157,177689,Female,Transcendentalism,,,,,,,,,,
Jack London,The Call of the Wild and White Fang,Martin Eden,31821,138768,170589,Male,Naturalism,,,,,,,,,,
Edith Wharton ,The House of Mirth,The Age of Innocence,129161,101308,230469,Female,Naturalism,,,,,,,,,,
Mark Twain,The Prince and the Pauper,Connecticut Yankee,69970,117534,187504,Male,Realism,,,,,,,,,,
Kate Chopin ,The Awakening ,At Fault,63991,57587,121578,Female,Realism,,,,,,,,,,
F. Scott Fitzgerald,The Beautiful and Damned,This Side of Paradise ,123561,80780,204341,Male,Early Modernism,,,,,,,,,,
Virginia Woolf,Night and Day,The Voyage Out ,166200,135992,302192,Female,Early Modernism,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,"Note: neither Genre or Type were used, but would be worth considering for future ",,,,,,,,,
,,,,,,,,,,,,,,,,,
