,text,author,sex,period
0,or other we did not begin that game of dominoes we felt meditative and fit for nothing but placid staring the day was ending in a serenity of still and exquisite brilliance the water shone pacifically the sky without a speck was a benign immensity of unstained light the very mist on the essex marsh was like a gauzy and radiant fabric hung from the wooded rises inland and draping the low shores in diaphanous folds only the gloom to the west brooding over the upper reaches became more sombre every minute as if angered by the approach of the sun and at last in its curved and imperceptible fall the sun sank low and from glowing white changed to a dull red without rays and without heat as if about to go out suddenly stricken to death by the touch of that gloom brooding over a crowd of men forthwith,JosephConrad,male,early_modernism
1,always the same in the immutability of their surroundings the foreign shores the foreign faces the changing immensity of life glide past veiled not by a sense of mystery but by a slightly disdainful ignorance for there is nothing mysterious to a seaman unless it be the sea itself which is the mistress of his existence and as inscrutable as destiny for the rest after his hours of work a casual stroll or a casual spree on shore suffices to unfold for him the secret of a whole continent and generally he finds the secret not worth knowing the yarns of seamen have a direct simplicity the whole meaning of which lies within the shell of a cracked nut but was not typical if his propensity to spin yarns be excepted and to him the meaning of an episode was not inside like a kernel but outside enveloping the tale which,JosephConrad,male,early_modernism
2,is just an accident arising from the weakness of others they grabbed what they could get for the sake of what was to be got it was just robbery with violence aggravated murder on a great scale and men going at it blindas is very proper for those who tackle a darkness the conquest of the earth which mostly means the taking it away from those who have a different complexion or slightly flatter noses than ourselves is not a pretty thing when you look into it too much what redeems it is the idea only an idea at the back of it not a sentimental pretence but an idea and an unselfish belief in the ideasomething you can set up and bow down before and offer a sacrifice to he broke off flames glided in the river small green flames red flames white flames pursuing overtaking joining crossing each otherthen,JosephConrad,male,early_modernism
3,years or so and i was loafing about hindering you fellows in your work and invading your homes just as though i had got a heavenly mission to civilize you it was very fine for a time but after a bit i did get tired of resting then i began to look for a shipi should think the hardest work on earth but the ships wouldnt even look at me and i got tired of that game too now when i was a little chap i had a passion for maps i would look for hours at or or and lose myself in all the glories of exploration at that time there were many blank spaces on the earth and when i saw one that looked particularly inviting on a map but they all look that i would put my finger on it and say when i grow up i will,JosephConrad,male,early_modernism
4,made me the more anxious to go it was only months and months afterwards when i made the attempt to recover what was left of the body that i heard the original quarrel arose from a misunderstanding about some hens yes two black hens fresleventhat was the fellows name a danethought himself wronged somehow in the bargain so he went ashore and started to hammer the chief of the village with a stick oh it didnt surprise me in the least to hear this and at the same time to be told that was the gentlest quietest creature that ever walked on two legs no doubt he was but he had been a couple of years already out there engaged in the noble cause you know and he probably felt the need at last of asserting his selfrespect in some way therefore he whacked the old nigger mercilessly while a big,JosephConrad,male,early_modernism
5,while on the other hand the steamer fresleven commanded left also in a bad panic in charge of the engineer i believe afterwards nobody seemed to trouble much about freslevens remains till i got out and stepped into his shoes i couldnt let it rest though but when an opportunity offered at last to meet my predecessor the grass growing through his ribs was tall enough to hide his bones they were all there the supernatural being had not been touched after he fell and the village was deserted the huts gaped black rotting all askew within the fallen enclosures a calamity had come to it sure enough the people had vanished mad terror had scattered them men women and children through the bush and they had never returned what became of the hens i dont know either i should think the cause of progress got them anyhow however through this,JosephConrad,male,early_modernism
6,younger one was walking back and forth introducing them the old one sat on her chair her flat cloth slippers were propped up on a footwarmer and a cat reposed on her lap she wore a starched white affair on her head had a wart on one cheek and silverrimmed spectacles hung on the tip of her nose she glanced at me above the glasses the swift and indifferent placidity of that look troubled me two youths with foolish and cheery countenances were being piloted over and she threw at them the same quick glance of unconcerned wisdom she seemed to know all about them and about me too an eerie feeling came over me she seemed uncanny and fateful often far away there i thought of these two guarding the door of darkness knitting black wool as for a warm pall one introducing introducing continuously to the unknown the other,JosephConrad,male,early_modernism
7,said i i wouldnt be talking like this with you what you say is rather profound and probably erroneous he said with a laugh avoid irritation more than exposure to the sun adieu how do you english say eh goodbye ah goodbye adieu in the tropics one must before everything keep calm he lifted a warning forefinger du calme du calme one thing more remained to dosay goodbye to my excellent aunt i found her triumphant i had a cup of teathe last decent cup of tea for many daysand in a room that most soothingly looked just as you would expect a ladys drawingroom to look we had a long quiet chat by the fireside in the course of these confidences it became quite plain to me i had been represented to the wife of the high dignitary and goodness knows to how many more people besides as an exceptional,JosephConrad,male,early_modernism
8,a world of their own and there has never been anything like it and never can be it is too beautiful altogether and if they were to set it up it would go to pieces before the first sunset some confounded fact we men have been living contentedly with ever since the day of creation would start up and knock the whole thing over after this i got embraced told to wear flannel be sure to write often and so onand i left in the streeti dont know whya queer feeling came to me that i was an imposter odd thing that i who used to clear out for any part of the world at twentyfour hours notice with less thought than most men give to the crossing of a street had a momenti wont say of hesitation but of startled pause before this commonplace affair the best way i can,JosephConrad,male,early_modernism
9,muscle a wild vitality an intense energy of movement that was as natural and true as the surf along their coast they wanted no excuse for being there they were a great comfort to look at for a time i would feel i belonged still to a world of straightforward facts but the feeling would not last long something would turn up to scare it away once i remember we came upon a manofwar anchored off the coast there wasnt even a shed there and she was shelling the bush it appears the french had one of their wars going on thereabouts her ensign dropped limp like a rag the muzzles of the long sixinch guns stuck out all over the low hull the greasy slimy swell swung her up lazily and let her down swaying her thin masts in the empty immensity of earth sky and water there she was,JosephConrad,male,early_modernism
10,the seat of the government but my work would not begin till some two hundred miles farther on so as soon as i could i made a start for a place thirty miles higher up i had my passage on a little seagoing steamer her captain was a swede and knowing me for a seaman invited me on the bridge he was a young man lean fair and morose with lanky hair and a shuffling gait as we left the miserable little wharf he tossed his head contemptuously at the shore been living there he asked i said yes fine lot these government chapsare they not he went on speaking english with great precision and considerable bitterness it is funny what some people will do for a few francs a month i wonder what becomes of that kind when it goes upcountry i said to him i expected to see that,JosephConrad,male,early_modernism
11,reach a rocky cliff appeared mounds of turnedup earth by the shore houses on a hill others with iron roofs amongst a waste of excavations or hanging to the declivity a continuous noise of the rapids above hovered over this scene of inhabited devastation a lot of people mostly black and naked moved about like ants a jetty projected into the river a blinding sunlight drowned all this at times in a sudden recrudescence of glare theres your companys station said the swede pointing to three wooden barracklike structures on the rocky slope i will send your things up four boxes did you say so farewell i came upon a boiler wallowing in the grass then found a path leading up the hill it turned aside for the boulders and also for an undersized railwaytruck lying there on its back with its wheels in the air one was off the thing,JosephConrad,male,early_modernism
12,another report from the cliff made me think suddenly of that ship of war i had seen firing into a continent it was the same kind of ominous voice but these men could by no stretch of imagination be called enemies they were called criminals and the outraged law like the bursting shells had come to them an insoluble mystery from the sea all their meagre breasts panted together the violently dilated nostrils quivered the eyes stared stonily uphill they passed me within six inches without a glance with that complete deathlike indifference of unhappy savages behind this raw matter one of the reclaimed the product of the new forces at work strolled despondently carrying a rifle by its middle he had a uniform jacket with one button off and seeing a white man on the path hoisted his weapon to his shoulder with alacrity this was simple prudence white men,JosephConrad,male,early_modernism
13,were near and an uninterrupted uniform headlong rushing noise filled the mournful stillness of the grove where not a breath stirred not a leaf moved with a mysterious soundas though the tearing pace of the launched earth had suddenly become audible black shapes crouched lay sat between the trees leaning against the trunks clinging to the earth half coming out half effaced within the dim light in all the attitudes of pain abandonment and despair another mine on the cliff went off followed by a slight shudder of the soil under my feet the work was going on the work and this was the place where some of the helpers had withdrawn to die they were dying slowlyit was very clear they were not enemies they were not criminals they were nothing earthly nownothing but black shadows of disease and starvation lying confusedly in the greenish gloom brought from all the,JosephConrad,male,early_modernism
14,of contorted collapse as in some picture of a massacre or a pestilence while i stood horrorstruck one of these creatures rose to his hands and knees and went off on allfours towards the river to drink he lapped out of his hand then sat up in the sunlight crossing his shins in front of him and after a time let his woolly head fall on his breastbone i didnt want any more loitering in the shade and i made haste towards the station when near the buildings i met a white man in such an unexpected elegance of getup that in the first moment i took him for a sort of vision i saw a high starched collar white cuffs a light alpaca jacket snowy trousers a clean necktie and varnished boots no hat hair parted brushed oiled under a greenlined parasol held in a big white hand he was,JosephConrad,male,early_modernism
15,what a frightful row he said he crossed the room gently to look at the sick man and returning said to me he does not hear what dead i asked startled no not yet he answered with great composure then alluding with a toss of the head to the tumult in the stationyard when one has got to make correct entries one comes to hate those savageshate them to the death he remained thoughtful for a moment when you see mr he went on tell him from me that everything herehe glanced at the deck is very satisfactory i dont like to write to himwith those messengers of ours you never know who may get hold of your letterat that central station he stared at me for a moment with his mild bulging eyes oh he will go far very far he began again he will be a somebody in the,JosephConrad,male,early_modernism
16,grass through burnt grass through thickets down and up chilly ravines up and down stony hills ablaze with heat and a solitude a solitude nobody not a hut the population had cleared out a long time ago well if a lot of mysterious niggers armed with all kinds of fearful weapons suddenly took to travelling on the road between deal and catching the yokels right and left to carry heavy loads for them i fancy every farm and cottage thereabouts would get empty very soon only here the dwellings were gone too still i passed through several abandoned villages theres something pathetically childish in the ruins of grass walls day after day with the stamp and shuffle of sixty pair of bare feet behind me each pair under a 60lb load camp cook sleep strike camp march now and then a carrier dead in harness at rest in the long grass,JosephConrad,male,early_modernism
17,see it now but i am not surenot at all certainly the affair was too stupidwhen i think of itto be altogether natural still but at the moment it presented itself simply as a confounded nuisance the steamer was sunk they had started two days before in a sudden hurry up the river with the manager on board in charge of some volunteer skipper and before they had been out three hours they tore the bottom out of her on stones and she sank near the south bank i asked myself what i was to do there now my boat was lost as a matter of fact i had plenty to do in fishing my command out of the river i had to set about it the very next day that and the repairs when i brought the pieces to the station took some months my first interview with the manager,JosephConrad,male,early_modernism
18,pausefor out there there were no external checks once when various tropical diseases had laid low almost every agent in the station he was heard to say men who come out here should have no entrails he sealed the utterance with that smile of his as though it had been a door opening into a darkness he had in his keeping you fancied you had seen thingsbut the seal was on when annoyed at mealtimes by the constant quarrels of the white men about precedence he ordered an immense round table to be made for which a special house had to be built this was the stations messroom where he sat was the first placethe rest were nowhere one felt this to be his unalterable conviction he was neither civil nor uncivil he was quiet he allowed his boyan overfed young negro from the coastto treat the white men under his,JosephConrad,male,early_modernism
19,took it back when it was borne in upon me startlingly with what extreme nicety he had estimated the time requisite for the affair i went to work the next day turning so to speak my back on that station in that way only it seemed to me i could keep my hold on the redeeming facts of life still one must look about sometimes and then i saw this station these men strolling aimlessly about in the sunshine of the yard i asked myself sometimes what it all meant they wandered here and there with their absurd long staves in their hands like a lot of faithless pilgrims bewitched inside a rotten fence the word ivory rang in the air was whispered was sighed you would think they were praying to it a taint of imbecile rapacity blew through it all like a whiff from some corpse by never seen,JosephConrad,male,early_modernism
20,wilderness without a sound took him into its bosom again as i approached the glow from the dark i found myself at the back of two men talking i heard the name of pronounced then the words take advantage of this unfortunate accident one of the men was the manager i wished him a good evening did you ever see anything like iteh it is incredible he said and walked off the other man remained he was a firstclass agent young gentlemanly a bit reserved with a forked little beard and a hooked nose he was standoffish with the other agents and they on their side said he was the managers spy upon them as to me i had hardly ever spoken to him before we got into talk and by and by we strolled away from the hissing ruins then he asked me to his room which was in the,JosephConrad,male,early_modernism
21,a brick anywhere in the station and he had been there more than a yearwaiting it seems he could not make bricks without something i dont know whatstraw maybe anyway it could not be found there and as it was not likely to be sent from it did not appear clear to me what he was waiting for an act of special creation perhaps however they were all waitingall the sixteen or twenty pilgrims of themfor something and upon my word it did not seem an uncongenial occupation from the way they took it though the only thing that ever came to them was diseaseas far as i could see they beguiled the time by backbiting and intriguing against each other in a foolish kind of way there was an air of plotting about that station but nothing came of it of course it was as unreal as everything elseas the,JosephConrad,male,early_modernism
22,worth his while it was very pretty to see how he baffled himself for in truth my body was full only of chills and my head had nothing in it but that wretched steamboat business it was evident he took me for a perfectly shameless prevaricator at last he got angry and to conceal a movement of furious annoyance he yawned i rose then i noticed a small sketch in oils on a panel representing a woman draped and blindfolded carrying a lighted torch the background was sombrealmost black the movement of the woman was stately and the effect of the torchlight on the face was sinister it arrested me and he stood by civilly holding an empty halfpint champagne bottle medical comforts with the candle stuck in it to my question he said had painted thisin this very station more than a year agowhile waiting for means to go to,JosephConrad,male,early_modernism
23,have that pleasure i wouldnt like him to get a false idea of my disposition i let him run on this papiermache mephistopheles and it seemed to me that if i tried i could poke my forefinger through him and would find nothing inside but a little loose dirt maybe he dont you see had been planning to be assistantmanager by and by under the present man and i could see that the coming of that had upset them both not a little he talked precipitately and i did not try to stop him i had my shoulders against the wreck of my steamer hauled up on the slope like a carcass of some big river animal the smell of mud of primeval mud by jove was in my nostrils the high stillness of primeval forest was before my eyes there were shiny patches on the black creek the moon had,JosephConrad,male,early_modernism
