,text,author,sex,period
0,than ever over at the house the main building was called the house to distinguish it from the cottages the chattering and whistling birds were still at it two young girls the farival twins were playing a duet from zampa upon the piano madame lebrun was bustling in and out giving orders in a high key to a yardboy whenever she got inside the house and directions in an equally high voice to a diningroom servant whenever she got outside she was a fresh pretty woman clad always in white with elbow sleeves her starched skirts crinkled as she came and went farther down before one of the cottages a lady in black was walking demurely up and down telling her beads a good many persons of the pension had gone over to the cheniere caminada in beaudelets lugger to hear mass some young people were out under the wateroaks playing,KateChopin,female,realism
1,lost in some inward maze of contemplation or thought her eyebrows were a shade darker than her hair they were thick and almost horizontal emphasizing the depth of her eyes she was rather handsome than beautiful her face was captivating by reason of a certain frankness of expression and a contradictory subtle play of features her manner was engaging robert rolled a cigarette he smoked cigarettes because he could not afford cigars he said he had a cigar in his pocket which mr pontellier had presented him with and he was saving it for his afterdinner smoke this seemed quite proper and natural on his part in coloring he was not unlike his companion a cleanshaved face made the resemblance more pronounced than it would otherwise have been there rested no shadow of care upon his open countenance his eyes gathered in and reflected the light and languor of the summer,KateChopin,female,realism
2,about himself he was very young and did not know any better mrs pontellier talked a little about herself for the same reason each was interested in what the other said robert spoke of his intention to go to mexico in the autumn where fortune awaited him he was always intending to go to mexico but some way never got there meanwhile he held on to his modest position in a mercantile house in new orleans where an equal familiarity with english french and spanish gave him no small value as a clerk and correspondent he was spending his summer vacation as he always did with his mother at grand isle in former times before robert could remember the house had been a summer luxury of the lebruns now flanked by its dozen or more cottages which were always filled with exclusive visitors from the quartier francais it enabled madame lebrun,KateChopin,female,realism
3,his wife with her inattention her habitual neglect of the children if it was not a mothers place to look after children whose on earth was it he himself had his hands full with his brokerage business he could not be in two places at once making a living for his family on the street and staying at home to see that no harm befell them he talked in a monotonous insistent way mrs pontellier sprang out of bed and went into the next room she soon came back and sat on the edge of the bed leaning her head down on the pillow she said nothing and refused to answer her husband when he questioned her when his cigar was smoked out he went to bed and in half a minute he was fast asleep mrs pontellier was by that time thoroughly awake she began to cry a little and,KateChopin,female,realism
4,on hand to say goodby to him his wife stood smiling and waving the boys shouting as he disappeared in the old rockaway down the sandy road a few days later a box arrived for mrs pontellier from new orleans it was from her husband it was filled with friandises with luscious and toothsome bitsthe finest of fruits pates a rare bottle or two delicious syrups and bonbons in abundance mrs pontellier was always very generous with the contents of such a box she was quite used to receiving them when away from home the pates and fruit were brought to the diningroom the bonbons were passed around and the ladies selecting with dainty and discriminating fingers and a little greedily all declared that mr pontellier was the best husband in the world mrs pontellier was forced to admit that she knew of none better iv it would have been a,KateChopin,female,realism
5,neck a mite less full or her beautiful arms more slender never were hands more exquisite than hers and it was a joy to look at them when she threaded her needle or adjusted her gold thimble to her taper middle finger as she sewed away on the little nightdrawers or fashioned a bodice or a bib madame ratignolle was very fond of mrs pontellier and often she took her sewing and went over to sit with her in the afternoons she was sitting there the afternoon of the day the box arrived from new orleans she had possession of the rocker and she was busily engaged in sewing upon a diminutive pair of nightdrawers she had brought the pattern of the drawers for mrs pontellier to cut outa marvel of construction fashioned to enclose a babys body so effectually that only two small eyes might look out from the garment,KateChopin,female,realism
6,could possibly hurt her madame ratignolle had been married seven years about every two years she had a baby at that time she had three babies and was beginning to think of a fourth one she was always talking about her condition her condition was in no way apparent and no one would have known a thing about it but for her persistence in making it the subject of conversation robert started to reassure her asserting that he had known a lady who had subsisted upon nougat during the entirebut seeing the color mount into mrs pontelliers face he checked himself and changed the subject mrs pontellier though she had married a creole was not thoroughly at home in the society of creoles never before had she been thrown so intimately among them there were only creoles that summer at lebruns they all knew each other and felt like one large,KateChopin,female,realism
7,read the book in secret and solitude though none of the others had done soto hide it from view at the sound of approaching footsteps it was openly criticised and freely discussed at table mrs pontellier gave over being astonished and concluded that wonders would never cease v they formed a congenial group sitting there that summer afternoonmadame ratignolle sewing away often stopping to relate a story or incident with much expressive gesture of her perfect hands robert and mrs pontellier sitting idle exchanging occasional words glances or smiles which indicated a certain advanced stage of intimacy and camaraderie he had lived in her shadow during the past month no one thought anything of it many had predicted that robert would devote himself to mrs pontellier when he arrived since the age of fifteen which was eleven years before robert each summer at grand isle had constituted himself the devoted attendant,KateChopin,female,realism
8,to it she did not remonstrate except again to repulse him quietly but firmly he offered no apology the picture completed bore no resemblance to madame ratignolle she was greatly disappointed to find that it did not look like her but it was a fair enough piece of work and in many respects satisfying mrs pontellier evidently did not think so after surveying the sketch critically she drew a broad smudge of paint across its surface and crumpled the paper between her hands the youngsters came tumbling up the steps the quadroon following at the respectful distance which they required her to observe mrs pontellier made them carry her paints and things into the house she sought to detain them for a little talk and some pleasantry but they were greatly in earnest they had only come to investigate the contents of the bonbon box they accepted without murmuring what she,KateChopin,female,realism
9,on the water must be delicious it will not hurt you come he reached up for her big rough straw hat that hung on a peg outside the door and put it on her head they descended the steps and walked away together toward the beach the sun was low in the west and the breeze was soft and warm vi edna pontellier could not have told why wishing to go to the beach with robert she should in the first place have declined and in the second place have followed in obedience to one of the two contradictory impulses which impelled her a certain light was beginning to dawn dimly within herthe light which showing the way forbids it at that early period it served but to bewilder her it moved her to dreams to thoughtfulness to the shadowy anguish which had overcome her the midnight when she had abandoned,KateChopin,female,realism
